"Indicator_Name","Indicator_Number","State","Type","Value","SE","CV","CI_Lower","CI_Upper","Indicator","Year"
"6. Estimated BLM range acres with BI = 3",2,"BLM","NA",9598175,1711228,0.178,7405148,11791202,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"6. Estimated BLM range acres with BI = 3",2,"AZ","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"6. Estimated BLM range acres with BI = 3",2,"CA","1",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"6. Estimated BLM range acres with BI = 3",2,"CA","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"6. Estimated BLM range acres with BI = 3",2,"CO","1",93640,73183,0.782,0,187428,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"6. Estimated BLM range acres with BI = 3",2,"CO","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"6. Estimated BLM range acres with BI = 3",2,"ID","1",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"6. Estimated BLM range acres with BI = 3",2,"ID","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"6. Estimated BLM range acres with BI = 3",2,"MT","1",202543,124992,0.617,42360,362727,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"6. Estimated BLM range acres with BI = 3",2,"MT","2",275705,380745,1.381,0,763649,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"6. Estimated BLM range acres with BI = 3",2,"NV","1",540378,320556,0.593,129569,951188,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"6. Estimated BLM range acres with BI = 3",2,"NV","2",1067171,515328,0.483,406752,1727590,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"6. Estimated BLM range acres with BI = 3",2,"NM","2",6637966,1545915,0.233,4656796,8619136,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"6. Estimated BLM range acres with BI = 3",2,"OR","1",486914,196824,0.404,234674,739154,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"6. Estimated BLM range acres with BI = 3",2,"OR","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"6. Estimated BLM range acres with BI = 3",2,"SD","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"6. Estimated BLM range acres with BI = 3",2,"UT","1",42149,47989,1.139,0,103649,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"6. Estimated BLM range acres with BI = 3",2,"UT","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"6. Estimated BLM range acres with BI = 3",2,"WA","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"6. Estimated BLM range acres with BI = 3",2,"WY","1",251708,148529,0.59,61360,442056,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"6. Estimated BLM range acres with BI = 3",2,"WY","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","2020"
"Estimated % of BLM range acres with BI >= 3",3,"BLM","NA",9.51,1.23,0.129,7.93,11.08,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated % of BLM range acres with BI >= 3",3,"AZ","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated % of BLM range acres with BI >= 3",3,"CA","1",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated % of BLM range acres with BI >= 3",3,"CA","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated % of BLM range acres with BI >= 3",3,"CO","1",5.59,4.28,0.765,0.11,11.07,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated % of BLM range acres with BI >= 3",3,"CO","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated % of BLM range acres with BI >= 3",3,"ID","1",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated % of BLM range acres with BI >= 3",3,"ID","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated % of BLM range acres with BI >= 3",3,"MT","1",2.9,1.79,0.619,0.6,5.2,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated % of BLM range acres with BI >= 3",3,"MT","2",25.12,36.28,1.444,0,71.62,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated % of BLM range acres with BI >= 3",3,"NV","1",3.64,2.15,0.591,0.88,6.4,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated % of BLM range acres with BI >= 3",3,"NV","2",3.13,1.55,0.494,1.15,5.11,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated % of BLM range acres with BI >= 3",3,"NM","2",74.96,8.65,0.115,63.88,86.04,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated % of BLM range acres with BI >= 3",3,"OR","1",5.41,2.09,0.386,2.74,8.09,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated % of BLM range acres with BI >= 3",3,"OR","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated % of BLM range acres with BI >= 3",3,"SD","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated % of BLM range acres with BI >= 3",3,"UT","1",3.58,3.91,1.091,0,8.6,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated % of BLM range acres with BI >= 3",3,"UT","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated % of BLM range acres with BI >= 3",3,"WA","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated % of BLM range acres with BI >= 3",3,"WY","1",1.55,0.92,0.59,0.38,2.73,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated % of BLM range acres with BI >= 3",3,"WY","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated BLM range acres with BI >= 3",3,"BLM","NA",14159952,1866439,0.132,11768013,16551890,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated BLM range acres with BI >= 3",3,"AZ","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated BLM range acres with BI >= 3",3,"CA","1",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated BLM range acres with BI >= 3",3,"CA","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated BLM range acres with BI >= 3",3,"CO","1",93640,73183,0.782,0,187428,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated BLM range acres with BI >= 3",3,"CO","2",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
"Estimated BLM range acres with BI >= 3",3,"ID","1",0,0,0,0,0,"BIOTIC INTEGRITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (BI >= 3)","2020"
