"","Ecoregion","Year","Indicator_Name","Indicator_Number","Ecoregion_name","Value","SE","CV","CI_Lower","CI_Upper","Indicator","xlab","ylab","var_type","figure_title","Index","figure_title_edit","caption","BLM.Sample","BLM.Acres","Value2","CI_Lower2","CI_Upper2","Flag"
"35","All BLM Range","2011","13. Estimated % of BLM range acres with HF = 3",6,"All.BLM.Range",7.35,0.94,0.13,6.14,8.56,"HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3)","Year","Percent of rangeland acres on BLM-administered lands ","percent","Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ",11,"Proportion of BLM rangelands with moderate departure from hydrologic function reference conditions (HF = 3) (80% confidence interval) ","",1079,151105636,7.35,6.14,8.56,NA
"36","All BLM Range","2011","24. Estimated BLM range acres with SSS = 3",10,"All.BLM.Range",7955582,1090014,0.14,6558184,9352979,"SOIL AND SITE STABILITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS = 3)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with moderate departure from soil and site stability reference conditions (SSS = 3)",20,"BLM rangeland acres (millions) with moderate departure from soil and site stability reference conditions (SSS = 3)","",1079,151105636,7.955582,6.558184,9.352979,NA
"37","All BLM Range","2011","27. Estimated BLM range acres with SSS >= 4",12,"All.BLM.Range",3769807,811630,0.22,2729297,4810317,"SOIL AND SITE STABILITY HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 4)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4)",24,"BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 4)","",1079,151105636,3.769807,2.729297,4.810317,NA
"38","All BLM Range","2011","48. Estimated BLM range acres that meet this condition",19,"All.BLM.Range",18914172,2723910,0.14,15422119,22406225,"AT LEAST 20% OF THE LAND HAS INTERCANOPY GAPS OF AT LEAST 2 M AND THE GAPS ARE AT LEAST 50% BARE GROUND","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with at least 20% of land having intercanopy gaps of at least 2 meters and gaps are at least 50% bare ground",38,"BLM rangeland acres (millions) where at least 20% of land has intercanopy gaps of at least 2 meters and at least 50% bare ground","",1079,151105636,18.914172,15.422119,22.406225,NA
"39","All BLM Range","2011","19. Estimated % of BLM range acres with SSS <= 2",9,"All.BLM.Range",91.4,0.77,0.01,90.42,92.39,"SOIL AND SITE STABILITY HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (SSS <= 2)","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ",17,"Proportion of BLM rangelands with none-to-slight or slight-to-moderate departure from soil and site stability reference conditions (SSS <=2) (80% confidence interval) ","",1079,151105636,91.4,90.42,92.39,NA
"40","All BLM Range","2011","28. Estimated % of BLM range acres with all 3 rangeland health attributes <= 2",13,"All.BLM.Range",83.73,1.31,0.02,82.05,85.41,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD NONE-TO-SLIGHT OR SLIGHT-TO-MODERATE DEPARTURE FROM REFERENCE CONDITIONS (<=2)","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands where all 3 rangeland health attributes had none-to-slight or slight-to-moderate departure from reference conditions (<= 2) (80% confidence interval) ",25,"Proportion of BLM rangelands where all 3 rangeland health attributes had none-to-slight or slight-to-moderate departure from reference conditions (<= 2) (80% confidence interval) ","",1079,151105636,83.73,82.05,85.41,NA
"41","All BLM Range","2011","33. Estimated BLM range acres with all 3 rangeland health attributes >= 4",14,"All.BLM.Range",2706630,696759,0.26,1813386,3599875,"ALL 3 RANGELAND HEALTH ATTRIBUTES HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (>=4)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) where all 3 rangeland health attributes had moderate-to-extreme or extreme-to-total departure from reference conditions (>= 4)",28,"BLM rangeland acres (millions) where all 3 rangeland health attributes had moderate-to-extreme or extreme-to-total departure from reference conditions (>= 4)","",1079,151105636,2.70663,1.813386,3.599875,NA
"42","All BLM Range","2011","34. Estimated % of BLM range acres with at least 1 rangeland health attribute = 3",15,"All.BLM.Range",13.73,1.41,0.1,11.93,15.54,"AT LEAST 1 RANGELAND HEALTH ATTRIBUTE HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (=3)","Year","Percent of rangeland acres on BLM-administered lands","percent","Proportion of BLM rangelands where at least 1 rangeland health attribute had moderate departure from reference conditions (= 3) (80% confidence interval) ",29,"Proportion of BLM rangelands where at least 1 rangeland health attribute had moderate departure from reference conditions (= 3) (80% confidence interval) ","",1079,151105636,13.73,11.93,15.54,NA
"43","All BLM Range","2011","Estimated BLM range acres with SSS >= 3",11,"All.BLM.Range",11725389,1005100,0.09,10436851,13013928,"SOIL AND SITE STABILITY HAD MODERATE OR MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (SSS >= 3)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with moderate or moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 3) ",22,"BLM rangeland acres (millions) with moderate or moderate-to-extreme or extreme-to-total departure from soil and site stability reference conditions (SSS >= 3) ","",1079,151105636,11.725389,10.436851,13.013928,NA
"44","All BLM Range","2011","6. Estimated BLM range acres with BI = 3",2,"All.BLM.Range",11038317,1322375,0.12,9343032,12733601,"BIOTIC INTEGRITY HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (BI = 3)","Year","BLM rangeland acres (millions)","acres","BLM rangeland acres (millions) with moderate departure from biotic integrity reference conditions (BI = 3) ",4,"BLM rangeland acres (millions) with moderate departure from biotic integrity reference conditions (BI = 3) ","",1079,151105636,11.038317,9.343032,12.733601,NA
