Indicator_Name,Indicator_Number,Ecoregion_name,Ecoregion,Value,SE,CV,CI_Lower,CI_Upper,Indicator,Year,xlab,ylab,var_type,figure_title,Index,figure_title_edit,caption
15. Estimated BLM range acres with HF = 3,6,All.BLM.Range,All BLM Range,10515249,1211070,0.12,8963201,12067297,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2015,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,All.BLM.Range,All BLM Range,10024391,915994,0.09,8850498,11198284,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2016,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
15. Estimated BLM range acres with HF = 3,6,All.BLM.Range,All BLM Range,5572624,1202417,0.22,4031665,7113584,HYDROLOGIC FUNCTION HAD MODERATE DEPARTURE FROM REFERENCE CONDITIONS (HF = 3),2019,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),12,BLM rangeland acres (millions) with moderate departure from hydrologic function reference conditions (HF = 3),
16. Estimated % of BLM range acres with HF >= 4,8,All.BLM.Range,All BLM Range,1.85,0.64,0.34,1.04,2.67,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2014,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,All.BLM.Range,All BLM Range,2.25,0.65,0.29,1.41,3.09,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2017,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,All.BLM.Range,All BLM Range,2.99,0.6,0.2,2.22,3.77,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2011,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,All.BLM.Range,All BLM Range,1.45,0.51,0.35,0.79,2.1,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2019,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,All.BLM.Range,All BLM Range,2.53,0.58,0.23,1.79,3.27,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2015,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,All.BLM.Range,All BLM Range,1.17,0.52,0.44,0.51,1.84,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2018,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,All.BLM.Range,All BLM Range,2.5,0.55,0.22,1.8,3.2,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2016,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
16. Estimated % of BLM range acres with HF >= 4,8,All.BLM.Range,All BLM Range,3.47,0.74,0.21,2.52,4.42,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2012,Year,Percent of rangeland acres on BLM-administered lands ,percent,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,15,Proportion of BLM rangelands with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4) (80% confidence interval) ,
18. Estimated BLM range acres with HF >= 4,8,All.BLM.Range,All BLM Range,1621221,709455,0.44,712018,2530424,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2018,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),16,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),
18. Estimated BLM range acres with HF >= 4,8,All.BLM.Range,All BLM Range,3097565,907912,0.29,1934028,4261102,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2017,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),16,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),
18. Estimated BLM range acres with HF >= 4,8,All.BLM.Range,All BLM Range,3384950,771918,0.23,2395697,4374202,HYDROLOGIC FUNCTION HAD MODERATE-TO-EXTREME OR EXTREME-TO-TOTAL DEPARTURE FROM REFERENCE CONDITIONS (HF >= 4),2015,Year,BLM rangeland acres (millions),acres,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),16,BLM rangeland acres (millions) with moderate-to-extreme or extreme-to-total departure from hydrologic function reference conditions (HF >= 4),
